Date,total_bitcoins
2027-11-14,20255114.770459082
2027-11-21,20258171.15768463
2027-11-28,20261227.54491018
2027-12-05,20264283.932135727
2027-12-12,20267340.319361277
2027-12-19,20270396.706586827
2027-12-26,20273453.093812376
2028-01-02,20276509.481037922
2028-01-09,20279565.868263476
2028-01-16,20282622.25548902
2028-01-23,20285678.642714567
2028-01-30,20288735.02994012
2028-02-06,20291791.417165667
2028-02-13,20294847.804391216
2028-02-20,20297904.191616766
2028-02-27,20300960.578842316
2028-03-05,20304016.96606786
2028-03-12,20307073.353293415
2028-03-19,20310129.74051896
2028-03-26,20313186.127744514
2028-04-02,20316242.51497006
2028-04-09,20319298.902195606
2028-04-16,20322355.28942116
2028-04-23,20325411.676646706
2028-04-30,20328468.063872255
2028-05-07,20331524.451097805
2028-05-14,20334580.838323355
2028-05-21,20337637.2255489
2028-05-28,20340693.61277445
2028-06-04,20343568.25363646
2028-06-11,20345322.125256676
2028-06-18,20346894.25051335
2028-06-25,20348466.37577002
2028-07-02,20350038.501026694
2028-07-09,20351610.62628337
2028-07-16,20353182.75154004
2028-07-23,20354754.876796715
2028-07-30,20356327.002053387
2028-08-06,20357899.127310064
2028-08-13,20359471.252566732
2028-08-20,20361043.37782341
2028-08-27,20362615.50308008
2028-09-03,20364187.628336757
2028-09-10,20365759.753593426
2028-09-17,20367331.878850102
2028-09-24,20368904.00410678
2028-10-01,20370476.12936345
2028-10-08,20372048.254620124
2028-10-15,20373620.379876796
2028-10-22,20375192.505133472
2028-10-29,20376764.63039014
2028-11-05,20378336.755646817
2028-11-12,20379908.88090349
2028-11-19,20381481.006160166
2028-11-26,20383053.131416835
2028-12-03,20384625.25667351
2028-12-10,20386197.381930184
2028-12-17,20387769.50718686
2028-12-24,20389341.63244353
2028-12-31,20390913.757700205
2029-01-07,20392485.88295688
2029-01-14,20394058.008213554
2029-01-21,20395630.133470226
2029-01-28,20397202.2587269
2029-02-04,20398774.383983575
2029-02-11,20400346.509240244
2029-02-18,20401918.63449692
2029-02-25,20403490.759753592
2029-03-04,20405062.88501027
2029-03-11,20406635.01026694
2029-03-18,20408207.135523614
2029-03-25,20409779.260780286
2029-04-01,20411351.386036962
2029-04-08,20412923.51129363
2029-04-15,20414495.636550307
2029-04-22,20416067.761806984
2029-04-29,20417639.887063656
2029-05-06,20419212.01232033
2029-05-13,20420784.137577
2029-05-20,20422356.262833677
2029-05-27,20423928.388090346
2029-06-03,20425500.513347022
2029-06-10,20427072.638603695
2029-06-17,20428644.76386037
2029-06-24,20430216.889117043
2029-07-01,20431789.014373716
2029-07-08,20433361.13963039
2029-07-15,20434933.264887065
2029-07-22,20436505.390143733
2029-07-29,20438077.51540041
2029-08-05,20439649.640657086
2029-08-12,20441221.76591376
2029-08-19,20442793.89117043
2029-08-26,20444366.016427103
2029-09-02,20445938.14168378
2029-09-09,20447510.266940452
2029-09-16,20449082.392197125
2029-09-23,20450654.517453797
2029-09-30,20452226.642710473
2029-10-07,20453798.767967146
2029-10-14,20455370.89322382
2029-10-21,20456943.01848049
2029-10-28,20458515.143737167
2029-11-04,20460087.268993836
2029-11-11,20461659.394250512
2029-11-18,20463231.51950719
2029-11-25,20464803.64476386
2029-12-02,20466375.770020533
2029-12-09,20467947.895277206
2029-12-16,20469520.020533882
2029-12-23,20471092.145790555
2029-12-30,20472664.271047227
2030-01-06,20474236.3963039
2030-01-13,20475808.521560576
2030-01-20,20477380.64681725
2030-01-27,20478952.77207392
2030-02-03,20480524.897330593
2030-02-10,20482097.02258727
2030-02-17,20483669.14784394
2030-02-24,20485241.273100615
2030-03-03,20486813.39835729
2030-03-10,20488385.523613963
2030-03-17,20489957.64887064
2030-03-24,20491529.77412731
2030-03-31,20493101.899383985
2030-04-07,20494674.024640657
2030-04-14,20496246.14989733
2030-04-21,20497818.275154002
2030-04-28,20499390.40041068
2030-05-05,20500962.52566735
2030-05-12,20502534.650924023
2030-05-19,20504106.776180696
2030-05-26,20505678.901437372
2030-06-02,20507251.02669405
2030-06-09,20508823.151950717
2030-06-16,20510395.277207393
2030-06-23,20511967.402464066
2030-06-30,20513539.527720742
2030-07-07,20515111.652977414
2030-07-14,20516683.778234087
2030-07-21,20518255.90349076
2030-07-28,20519828.028747432
2030-08-04,20521400.154004104
2030-08-11,20522972.27926078
2030-08-18,20524544.404517453
2030-08-25,20526116.529774126
2030-09-01,20527688.6550308
2030-09-08,20529260.780287474
2030-09-15,20530832.90554415
2030-09-22,20532405.030800823
2030-09-29,20533977.156057496
2030-10-06,20535549.281314168
2030-10-13,20537121.406570844
2030-10-20,20538693.531827517
2030-10-27,20540265.65708419
2030-11-03,20541837.78234086
2030-11-10,20543409.907597534
2030-11-17,20544982.032854207
2030-11-24,20546554.158110883
2030-12-01,20548126.283367556
2030-12-08,20549698.40862423
2030-12-15,20551270.5338809
2030-12-22,20552842.659137577
2030-12-29,20554414.784394253
2031-01-05,20555986.909650926
2031-01-12,20557559.034907598
2031-01-19,20559131.16016427
2031-01-26,20560703.285420947
2031-02-02,20562275.41067762
2031-02-09,20563847.53593429
2031-02-16,20565419.661190964
2031-02-23,20566991.78644764
2031-03-02,20568563.91170431
2031-03-09,20570136.036960986
2031-03-16,20571708.162217658
2031-03-23,20573280.287474334
2031-03-30,20574852.412731003
2031-04-06,20576424.53798768
2031-04-13,20577996.663244355
2031-04-20,20579568.788501028
2031-04-27,20581140.9137577
2031-05-04,20582713.039014373
2031-05-11,20584285.16427105
2031-05-18,20585857.28952772
2031-05-25,20587429.414784394
2031-06-01,20589001.540041067
2031-06-08,20590573.665297743
2031-06-15,20592145.79055441
2031-06-22,20593717.915811088
2031-06-29,20595290.04106776
2031-07-06,20596862.166324437
2031-07-13,20598434.291581113
2031-07-20,20600006.41683778
2031-07-27,20601578.542094458
2031-08-03,20603150.66735113
2031-08-10,20604722.792607803
2031-08-17,20606294.917864475
2031-08-24,20607867.04312115
2031-08-31,20609439.168377824
2031-09-07,20611011.293634497
2031-09-14,20612583.41889117
2031-09-21,20614155.544147845
2031-09-28,20615727.669404518
2031-10-05,20617299.79466119
2031-10-12,20618871.919917863
2031-10-19,20620444.04517454
2031-10-26,20622016.170431215
2031-11-02,20623588.295687884
2031-11-09,20625160.42094456
2031-11-16,20626732.546201233
2031-11-23,20628304.671457905
2031-11-30,20629876.796714578
2031-12-07,20631448.921971254
2031-12-14,20633021.047227927
2031-12-21,20634593.1724846
2031-12-28,20636165.29774127
2032-01-04,20637737.422997948
2032-01-11,20639309.54825462
2032-01-18,20640881.673511293
2032-01-25,20642453.798767965
2032-02-01,20644025.92402464
2032-02-08,20645598.049281318
2032-02-15,20647170.174537987
2032-02-22,20648742.299794663
2032-02-29,20650314.425051335
2032-03-07,20651886.550308008
2032-03-14,20653458.67556468
2032-03-21,20655030.800821356
2032-03-28,20656602.92607803
2032-04-04,20658175.051334705
